"CTL"	"dysfunction"
"HIST1H2BJ"	0	0
"HIST1H4E"	0	0
"HIST1H4I"	0	0
"HIVEP2"	0	0
"HIVEP3"	0	0
"HLA-DOA"	0	0
"HLA-DOB"	0	0
"HLF"	1	0
"HLTF"	0	4
"HLX"	0	0
"HMBOX1"	0	0
"HMG20A"	0	0
"HMGA2"	0	0
"HMGB1"	0	1
"HMGB2"	0	1
"HMGCR"	1	3
"HMGN1"	1	3
"HMGN2"	0	0
"HMGN5"	1	0
"HMGXB4"	0	3
"HMOX1"	0	0
"HNF1B"	2	0
"HNRNPAB"	0	0
"HNRNPDL"	0	0
"HOMER1"	1	0
"HOMER2"	0	0
"HOMEZ"	1	1
"HOPX"	0	0
"HOXA1"	0	0
